source,TIME,HELMET_RAW,BELT_ACC_X,BELT_ACC_Y,BELT_ACC_Z,BELT_ANG_X,BELT_ANG_Y,BELT_ANG_Z,BELT_LUMINOSITY,NECK_ACC_X,NECK_ACC_Y,NECK_ACC_Z,NECK_ANG_X,NECK_ANG_Y,NECK_ANG_Z,NECK_LUMINOSITY,PCKT_ACC_X,PCKT_ACC_Y,PCKT_ACC_Z,PCKT_ANG_X,PCKT_ANG_Y,PCKT_ANG_Z,PCKT_LUMINOSITY,WRST_ACC_X,WRST_ACC_Y,WRST_ACC_Z,WRST_ANG_X,WRST_ANG_Y,WRST_ANG_Z,WRST_LUMINOSITY,IR_1,IR_2,IR_3,IR_4
S01_A01_T02.csv,5/24/18 11:36,51.8,0.952425,-0.081075,0.126425,-1.682,0.9725,0.184333333,406.274,1.510083333,0.118,-0.443266667,-177.225,95.9875,18.3675,403.369,-0.28315,-0.966066667,0.121366667,3.64325,4.192,-2.04,2.838,-0.849733333,-0.413866667,-0.105433333,23.3093,-112.1985,-49.35966667,488.25,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,51.75,0.95415,-0.0804,0.1757,-0.759166667,1.709666667,-0.516166667,473.2436,1.173925,0.240125,-0.6533,17.10444444,146.5111111,2.097777778,402.91,-0.27942,-0.9628,0.15098,1.4666,-0.6442,1.1844,2.648,-0.88102,-0.38622,-0.0417,-21.26666667,-28.11633333,-3.299333333,376.1193333,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,51.9,0.948316667,-0.060616667,0.173683333,0.479857143,-0.362571429,0.288857143,446.0063333,1.2462,0.17584,-0.24322,75.801,-326.395,-59.652,402.91,-0.29866,-0.95876,0.15528,-1.0808,2.0014,-0.2898,2.542,-0.87535,-0.3627,-0.09125,5.03525,-102.9062,-50.4582,370.772,1,1,1,1
S01_A01_T03.csv,5/24/18 11:37,51.875,0.46075,-0.1985,-0.656233333,12.035,-4.23,18.00166667,238.482,0.95046,0.15148,-0.28044,17.9213,122.032,-1.128,413.892,-0.278,-0.95515,0.15335,-0.5745,-2.468,-1.005,2.127,-0.7134,-0.30058,0.06742,-14.36018,-45.3968,-37.3804,426.9096667,1,1,1,1
S01_A01_T03.csv,5/24/18 11:37,52,-0.297583333,-0.020166667,-1.0125,-3.4022,-36.013,-6.568,238.482,0.8842,0.04755,-0.24525,164.28,22.78114286,81.25571429,395.48875,-0.3162,-0.9836,0.132,1.27,-5.75,-20,2.862,-0.915475,0.055975,-0.113075,40.613625,-279.08225,-89.01575,457.235,1,0,1,0
S01_A01_T03.csv,5/24/18 11:37,52,-0.063671429,-0.1086,-0.909771429,-0.0962,-0.6928,0.3794,238.482,0.873125,-0.446525,-0.343775,-144.1222222,-145.7333333,7.167777778,340.279,0.2704,-0.14445,-0.22495,-78.16666667,-1.513333333,-19.34333333,2.862,-0.88595,0.0865,0.14375,-33.01733333,63.882,48.45533333,374.147,1,0,1,0
S01_A01_T03.csv,5/24/18 11:37,52,-0.0203,-0.10788,-0.9872,-0.64,6.64625,0.0475,238.482,1.04745,0.157716667,-0.320533333,6.478777778,172.2655556,-44.51777778,338.8226667,0.356,0.09815,-0.687375,-24.617,-60.12885714,-3.797142857,2.862,-0.925925,-0.0404,0.17585,70.0666,-361.971,-234.1096667,422.922,1,1,1,0
S01_A01_T03.csv,5/24/18 11:37,52,-0.0203,-0.10788,-0.9872,-0.64,6.64625,0.0475,238.482,1.04745,0.157716667,-0.320533333,6.478777778,172.2655556,-44.51777778,338.8226667,0.356,0.09815,-0.687375,-24.617,-60.12885714,-3.797142857,0,-0.925925,-0.0404,0.17585,70.0666,-361.971,-234.1096667,422.922,1,1,1,0
S01_A01_T03.csv,5/24/18 11:37,52,0.06385,-0.083725,-0.98485,1.1712,-17.74,-0.252,124.2455,1.032,0.26982,-0.34078,-0.925,72.5725,12.103125,340.3785,0.2949,-0.173133333,-0.8871,4.635,0.7355,-1.765,0.066666667,-0.850766667,-0.336766667,0.060333333,-12.637,-54.5826,25.436,404.5935,1,0.5,1,0
S01_A01_T03.csv,5/24/18 11:37,52,0.383771429,-0.142428571,-0.913714286,1.118666667,29.48666667,-3.98,141.171,0.89072,0.10648,-0.2515,21.785,-61.107,31.415,341.868,0.075033333,-0.71685,0.019966667,54.06285714,-5.390857143,13.80371429,1.724,-0.775633333,-0.425833333,0.462266667,45.88116667,-260.146,-124.2121667,593.5903333,1,0,1,0.5
S01_A01_T03.csv,5/24/18 11:37,52,0.82375,-0.1151,-0.60575,-4.4126,-4.9326,5.586,29.172,0.771525,-0.014475,-0.2497,13.30428571,-43.03857143,50.37042857,378.8233333,-0.180466667,-0.794566667,0.8798,26.4482,-0.4416,-0.4098,2.909,-0.5111,-1.093066667,-0.073166667,41.96365,-264.20925,-165.853,466.352,1,1,1,0
S01_A01_T03.csv,5/24/18 11:37,51.9,0.9222,-0.000225,-0.1274,-9.8138,33.046,-5.8088,142.8675,1.05892,-0.17902,-0.31226,35.33222222,33.41111111,-50.73,452.734,-0.19912,-0.6834,0.67948,-34.31333333,11.05666667,-3.596666667,2.808,0.541775,0.111025,0.448475,5.046316667,-126.5908333,-47.79733333,583.6255,1,1,1,0
S01_A01_T03.csv,5/24/18 11:37,51.66666667,0.96078,0.04064,0.03274,11.15566667,2.357666667,1.687,417.6576667,0.9188,0.3438,-0.258166667,-40.99714286,-106.5142857,-52.21857143,452.734,-0.156333333,-0.993583333,0.0915,-2.65,-1.795,-1.245,2.838,0.77222,0.00208,0.74378,86.0787,-447.264,-145.92,583.6255,1,1,1,1
S01_A01_T03.csv,5/24/18 11:37,51.66666667,0.96078,0.04064,0.03274,11.15566667,2.357666667,1.687,417.6576667,0.9188,0.3438,-0.258166667,-40.99714286,-106.5142857,-52.21857143,452.734,-0.156333333,-0.993583333,0.0915,-2.65,-1.795,-1.245,2.838,0.77222,0.00208,0.74378,86.0787,-447.264,-145.92,0,1,1,1,1
S01_A01_T03.csv,5/24/18 11:37,51.75,0.963575,0.024175,0.067725,5.2232,2.5248,1.232,447.547,1.22696,0.15696,-0.36136,37.3486,80.518,86.859,428.5,-0.16404,-0.9918,0.1067,-2.130333333,-11.97333333,-1.766333333,2.773,0.83152,-0.06214,0.56862,-9.43638,-71.6418,-62.1374,827.195,1,1,1,1
S01_A02_T01.csv,5/24/18 11:38,-28.66666667,0.17976,-0.03328,-0.95694,-10.312,-22.01,2.9906,8.391,-0.9549,0.07545,-0.4093,-17.6375,-0.783375,-12.91125,89.4445,0.371042857,-0.491428571,-0.647971429,63.826,18.73,26.726,0.676666667,-1.01316,-0.13376,0.22328,278.5094,-1471.5292,-930.65632,520.0626667,1,0,1,0
S01_A02_T01.csv,5/24/18 11:38,-28.66666667,0.17976,-0.03328,-0.95694,-10.312,-22.01,2.9906,0,-0.9549,0.07545,-0.4093,-17.6375,-0.783375,-12.91125,89.4445,0.371042857,-0.491428571,-0.647971429,63.826,18.73,26.726,0.676666667,-1.01316,-0.13376,0.22328,278.5094,-1471.5292,-930.65632,520.0626667,1,0,1,0
S01_A02_T01.csv,5/24/18 11:38,-50.375,0.256116667,-0.131166667,-0.91365,15.3812,9.3442,-3.214,234.7393333,-0.95188,0.00982,-0.41506,-26.16,0.2222,-7.296,79.01,0.043442857,-0.935257143,0.160485714,23.59,-8.91,3.3855,1.779,-0.62802,-0.20302,0.50244,138.0294167,-835.1923333,-382.1705833,534.557,1,0,1,0
S01_A02_T01.csv,5/24/18 11:38,38.7,0.374825,-0.2192,-0.8338,0.2986,26.446,-3.5542,186.1234,-0.9539,-0.016716667,-0.380616667,-2.014888889,2.115,-8.874,70.69,-0.173333333,-0.528733333,0.904633333,73.8825,13.24175,13.50425,2.278666667,-0.7562,-0.3271,0.66316,484.53365,-2569.7475,-1221.1115,531.4996667,1,1,1,0
S01_A02_T01.csv,5/24/18 11:38,20.4,0.75595,-0.173375,-0.232575,6.2594,62.154,-2.9882,84.5845,-0.953725,-0.07535,-0.37185,-4.150857143,3.783142857,0.638,70.69,-0.286633333,0.083,1.107666667,46.365,7.96,23.015,2.557333333,-0.270975,-0.44175,0.813125,139.6711833,-843.9405,-386.2969,646.661,1,1,1,0
S01_A02_T01.csv,5/24/18 11:38,37.875,0.870342857,-0.120428571,0.421271429,-2.3155,-3.469875,-3.5445,24.059,-0.955,-0.084975,-0.388775,-1.259857143,-1.575,-7.607142857,81.53266667,-0.22206,0.1351,1.06214,13.99133333,-4.476666667,0.825166667,2.65,0.238375,-0.34625,0.268225,490.0763,-2599.272,-822.6113333,547.537,1,1,1,0
S01_A02_T01.csv,5/24/18 11:38,71.1,0.954,-0.218583333,0.280933333,-3.246166667,-21.831,8.972166667,59.76025,-0.9631,-0.097133333,-0.393333333,12.05533333,-0.176333333,1.477777778,86.954,-0.116666667,0.264766667,1.173466667,-106.25,-2.7125,-3.656,2.393,-1.140125,-0.3753,0.005025,141.7235167,-854.8756667,-803.79555,458.424,1,1,1,0
S01_A02_T01.csv,5/24/18 11:38,162.7,0.83465,-0.1646,-0.2997375,-2.052875,13.405,-16.1875,1.665,-0.946266667,-0.150983333,-0.35475,2.27325,-7.198375,-8.176625,96.99,-0.01032,-0.8062,0.53374,-49.93333333,26.44666667,5.152333333,2.145,0.32835,-0.358675,0.3768,142.54415,-859.2498333,19.2533,599.2798571,1,1,1,0
S01_A02_T01.csv,5/24/18 11:39,-15.25,0.941133333,-0.051933333,0.026666667,-5.611375,7.406625,-2.4825,1.665,-0.94188,-0.14756,-0.37632,-2.020444444,25.82388889,13.54222222,87.93,-0.03618,-0.99968,0.0834,-5.2095,-15.87675,3.62825,2.11325,0.808,-0.7264,0.54528,392.10164,-2136.6942,-1005.6466,828.2366667,1,1,1,0
S01_A02_T01.csv,5/24/18 11:39,-15.25,0.941133333,-0.051933333,0.026666667,-5.611375,7.406625,-2.4825,0,-0.94188,-0.14756,-0.37632,-2.020444444,25.82388889,13.54222222,87.93,-0.03618,-0.99968,0.0834,-5.2095,-15.87675,3.62825,2.11325,0.808,-0.7264,0.54528,392.10164,-2136.6942,-1005.6466,828.2366667,1,1,1,0
S01_A02_T01.csv,5/24/18 11:39,-6,0.953566667,0.007466667,0.019616667,3.218333333,-2.958833333,0.8345,421.485,-0.913975,-0.0589,-0.479175,-10.496125,31.8925,33.4025,83.4,-0.0388,-0.995333333,0.1146,-2.13,-5.482666667,-0.384333333,2.628666667,0.699166667,-0.5555,0.284266667,273.9622,-1501.035429,-702.2695857,730.1888,1,1,1,0
S01_A02_T01.csv,5/24/18 11:39,44.11111111,0.965825,0.002225,-0.026525,6.0722,-0.3142,0.8048,418.093,-0.90795,0.0588,-0.5177,-7.7048,-14.216,43.14,83.4,-0.03772,-0.99986,0.1099,0.581333333,-4.532833333,0.42,2.812333333,0.98202,-0.5038,0.10752,-33.99475,25.523,31.75475,675.806,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,12.55555556,-0.0216125,-0.136575,-0.9753,0.549,-0.378,0.35075,264.569,-0.91656,0.21444,-0.41076,46.23,-4.333555556,10.21955556,124.751,0.209575,0.017475,-0.90665,-0.85,-1,-0.21,1.445,-0.72665,-0.309775,0.558725,419.69032,-2283.662,-1074.9662,546.212,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,40.625,-0.029625,-0.134825,-0.976675,0.549,0.17025,0.32025,264.569,-0.9498,-0.18015,-0.416725,59.41285714,1.633142857,36.37142857,125.185,0.2086,0.02,-0.90645,-0.42,-0.91,-0.18,1.445,-0.72705,-0.316775,0.5533,-13.6215,2.5065,3.665,544.078,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,59.44444444,-0.024033333,-0.133666667,-0.976733333,0.549,0.092,0.366,264.569,-0.958166667,-0.138466667,-0.3769,39.09714286,-6.266142857,0.236571429,125.402,0.2065,0.0197,-0.9054,-0.374,-1.03,-0.24,1.445,-0.72856,-0.31888,0.5523,334.3315,-1839.036,-1752.767467,542.211,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,32.11111111,-0.0234,-0.13212,-0.97798,0.488,0.448111111,0.332111111,264.569,-0.9919,-0.16582,-0.3033,-1.922222222,3.602666667,-4.687444444,120.662,0.20705,0.0132,-0.90855,-0.471666667,-0.89,-0.15,1.445,-0.72934,-0.31764,0.55126,203.18406,-1162.9068,-4.322,540.876,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,5.888888889,0.000133333,-0.137933333,-0.987133333,2.2564,3.7684,-0.353,264.569,-0.938675,-0.158975,-0.373525,-7.086285714,21.17857143,3.170857143,118.292,0.2066,0.0152,-0.90835,-0.604,-0.946,-0.204,1.445,-0.73056,-0.31254,0.54888,389.50455,-2114.38775,-1329.618325,541.474,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,5.888888889,0.000133333,-0.137933333,-0.987133333,2.2564,3.7684,-0.353,0,-0.938675,-0.158975,-0.373525,-7.086285714,21.17857143,3.170857143,118.292,0.2066,0.0152,-0.90835,-0.604,-0.946,-0.204,0,-0.73056,-0.31254,0.54888,389.50455,-2114.38775,-1329.618325,541.474,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,-34.2,0.18212,-0.12334,-0.92072,-1.447285714,7.716285714,0.203,76.645,-0.882625,-0.186525,-0.420075,-7.353625,2.38825,12.985375,118.292,0.2206,0.004633333,-0.937,-0.181,2.655,0.1235,0.077333333,-0.7456,-0.528766667,0.355033333,82.08014,-558.4866,25.22996,517.7003333,1,1,1,1
S01_A02_T02.csv,5/24/18 11:39,-92.55555556,0.252966667,-0.334066667,-0.950233333,31.1675,5.9425,-2.5575,231.437,-0.9062,-0.190266667,-0.481433333,-35.41666667,11.927,18.87833333,116.18,0.358575,-0.621225,-0.6027,73.02666667,18.37333333,20.40533333,0.859,-0.88786,-0.28944,0.29928,548.58205,-2910.9195,-1376.486,517.7003333,1,0,1,0
S01_A02_T02.csv,5/24/18 11:39,-92.55555556,0.252966667,-0.334066667,-0.950233333,31.1675,5.9425,-2.5575,231.437,-0.9062,-0.190266667,-0.481433333,-35.41666667,11.927,18.87833333,116.18,0.358575,-0.621225,-0.6027,73.02666667,18.37333333,20.40533333,0.859,-0.88786,-0.28944,0.29928,548.58205,-2910.9195,-1376.486,0,1,0,1,0
S01_A02_T02.csv,5/24/18 11:39,14.28571429,0.2811,-0.2241,-0.884733333,-6.9325,10.36325,-9.0975,231.437,-1.08148,-0.0008,-0.5144,-78.64,86.701,12.47,115.124,0.043666667,-0.92835,0.061466667,33.4725,-9.82975,8.141,1.736,-0.879925,-0.21,0.0207,161.5750167,-959.8536667,-902.82335,551.7195714,1,0,1,0
S01_A02_T02.csv,5/24/18 11:39,17.3,0.7598,-0.142933333,-0.373666667,-0.163428571,60.07285714,-4.891428571,231.437,-0.929,0.19635,-0.3804,-30.60071429,-5.276428571,-26.82857143,115.124,-0.09054,-0.32532,0.94836,41.838,9.1214,5.2928,2.607,-0.81622,-0.34162,0.40384,218.7089857,-1248.419,-382.1504286,517.268,1,0,1,0
S01_A02_T02.csv,5/24/18 11:39,17.3,0.7598,-0.142933333,-0.373666667,-0.163428571,60.07285714,-4.891428571,0,-0.929,0.19635,-0.3804,-30.60071429,-5.276428571,-26.82857143,115.124,-0.09054,-0.32532,0.94836,41.838,9.1214,5.2928,2.607,-0.81622,-0.34162,0.40384,218.7089857,-1248.419,-382.1504286,517.268,1,0,1,0
S01_A02_T02.csv,5/24/18 11:39,45.33333333,0.975385714,-0.231671429,-0.059857143,-4.053285714,-27.13142857,5.200571429,2.844,-0.8924,0.113975,-0.47735,-65.67,-20.258,-33.29,113.6763333,-0.16262,-0.38872,1.00264,-80.26666667,-5.723333333,-10.931,2.518,-0.66994,-0.34032,0.63732,317.1171,-1812.2046,-569.2124,502.1928,1,1,1,0
S01_A02_T03.csv,5/24/18 11:39,-176.3333333,-0.087133333,-0.092,-0.978433333,0.088428571,0.935428571,0.366,4.87,-0.9391,0.00462,-0.43514,-6.648,1.6775,-9.339,98.016,0.32762,-0.02862,-0.86478,-0.688333333,-1.233333333,-0.15,0.0905,-0.9096,-0.2158,0.1892,332.9711714,-1803.562857,-844.1997286,405.0216667,1,1,1,1
S01_A02_T03.csv,5/24/18 11:39,-177.4444444,-0.081166667,-0.088133333,-0.986866667,0.447333333,-0.873333333,0.386333333,4.87,-0.939275,-0.007425,-0.43665,-5.117777778,-1.102222222,-4.872222222,98.016,0.326283333,-0.028066667,-0.867433333,-0.279833333,-0.931666667,-0.1195,0.047,-0.9089,-0.21715,0.1852,222.91712,-1249.3854,-1188.8306,388.5363333,1,1,1,1
S01_A02_T03.csv,5/24/18 11:39,-6.7,-0.087566667,-0.0877,-0.9868,0.697142857,-0.233285714,0.374714286,4.87,-0.9326,-0.00615,-0.436825,-4.341428571,0.481714286,-3.592857143,97.4485,0.32554,-0.0314,-0.8685,-0.573333333,-1.021666667,-0.17,0.134,-0.91014,-0.2226,0.17696,180.4568833,-1060.457667,19.24218333,383.847,1,1,1,1
S01_A02_T03.csv,5/24/18 11:39,18.77777778,-0.08055,-0.089816667,-0.988416667,0.731875,0.64225,0.343125,4.87,-0.93432,-0.01228,-0.43522,-1.122888889,3.299666667,-3.628888889,96.881,0.324133333,-0.0317,-0.8683,-0.503333333,-0.89,-0.18,0.134,-0.90865,-0.223625,0.174125,482.75016,-2619.5884,-1233.411,388.1708,1,1,1,1
S01_A02_T03.csv,5/24/18 11:39,-10.3,0.095757143,-0.146728571,-1.002857143,4.531,24.29816667,-1.451166667,30.2625,-0.933466667,-0.0223,-0.448966667,3.196714286,3.406714286,-0.727714286,96.881,0.3332,-0.02085,-0.868075,-3.8225,1.6935,-1.17,0.134,-0.853125,-0.308075,0.235975,226.85812,-1270.3806,-1208.63576,439.5356667,1,1,1,1
S01_A02_T03.csv,5/24/18 11:39,-62.7,0.281857143,-0.199357143,-0.874028571,8.142666667,27.83333333,-6.641,30.2625,-0.927466667,-0.031633333,-0.4578,3.667285714,2.247857143,0.941142857,97.10133333,0.42116,-0.27854,-0.86414,38.0204,4.3106,13.998,0.0265,-0.903033333,-0.203866667,0.388433333,183.7407167,-1077.954,19.24121667,521.6806667,1,0,1,0
S01_A02_T03.csv,5/24/18 11:39,-10.7,0.842057143,-0.184014286,-0.304342857,11.338,65.96,-4.249,30.2625,-0.92238,-0.03734,-0.46544,-2.421888889,1.349333333,-0.208111111,97.542,0.0907,-0.4738,0.70685,72.49142857,14.35285714,12.68942857,1.783,-0.603666667,-0.19505,0.726766667,490.63264,-2661.5792,-1253.2166,673.9545,1,0,1,0
S01_A02_T03.csv,5/24/18 11:39,-10.7,0.842057143,-0.184014286,-0.304342857,11.338,65.96,-4.249,0,-0.92238,-0.03734,-0.46544,-2.421888889,1.349333333,-0.208111111,97.542,0.0907,-0.4738,0.70685,72.49142857,14.35285714,12.68942857,1.783,-0.603666667,-0.19505,0.726766667,490.63264,-2661.5792,-1253.2166,673.9545,1,0,1,0
S01_A02_T03.csv,5/24/18 11:39,60.28571429,0.931328571,-0.183985714,0.175828571,-0.816,4.687,0.246285714,5.232,-0.91872,-0.03914,-0.47546,2.775833333,3.475666667,-0.7495,98.281,-0.2288,-0.0283625,1.0670375,7.2064,7.1828,2.0494,2.702,0.647666667,-0.5488,0.310533333,230.79912,-1291.3758,-1228.44092,694.213,1,0,1,0
S01_A02_T03.csv,5/24/18 11:39,-21.8,0.92435,-0.1717,0.20735,2.5256,2.7204,-0.339,6.336,-0.91565,-0.045425,-0.484625,2.500714286,1.664571429,-4.09,98.281,-0.270083333,0.023383333,1.064183333,-2.213333333,-1.926666667,-0.545333333,2.7815,0.21866,-0.76782,0.26116,187.02455,-1095.450333,19.24025,539.7296667,1,1,1,0
